Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
12004,Dartmouth--Cole Harbour,preliminary,Norton,,Emma,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,14220,27,0,52585
12004,Dartmouth--Cole Harbour,validated,Cole,,Jason,Conservative,Conservateur,8638,16.1,404,53903
12004,Dartmouth--Cole Harbour,validated,Fisher,,Darren,Liberal,Libéral,24259,45.3,404,53903
12004,Dartmouth--Cole Harbour,validated,Lindsay,,Michelle,People's Party,Parti populaire,887,1.7,404,53903
12004,Dartmouth--Cole Harbour,validated,MacPherson,,Lil,Green Party,Parti Vert,5280,9.9,404,53903
12004,Dartmouth--Cole Harbour,validated,Norton,,Emma,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,14435,27,404,53903
12005,Halifax,preliminary,Fillmore,,Andy,Liberal,Libéral,23088,42.4,0,54489
12005,Halifax,preliminary,Holland,,Bruce,Conservative,Conservateur,6214,11.4,0,54489
12005,Halifax,preliminary,McGenn,,Duncan,People's Party,Parti populaire,605,1.1,0,54489
12005,Halifax,preliminary,Roberts,,Jo-Ann,Green Party,Parti Vert,7762,14.2,0,54489
12005,Halifax,preliminary,Saulnier,,Christine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16594,30.5,0,54489
12005,Halifax,preliminary,Wilson,,Bill,Animal Protection Party,Parti Protection Animaux,226,.4,0,54489
12005,Halifax,validated,Fillmore,,Andy,Liberal,Libéral,23681,42.5,361,56113
12005,Halifax,validated,Holland,,Bruce,Conservative,Conservateur,6456,11.6,361,56113
12005,Halifax,validated,McGenn,,Duncan,People's Party,Parti populaire,633,1.1,361,56113
12005,Halifax,validated,Roberts,,Jo-Ann,Green Party,Parti Vert,8013,14.4,361,56113
12005,Halifax,validated,Saulnier,,Christine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16747,30,361,56113
12005,Halifax,validated,Wilson,,Bill,Animal Protection Party,Parti Protection Animaux,222,.4,361,56113
12006,Halifax West,preliminary,Regan,,Geoff,Liberal,Libéral,26884,49.5,0,54356
12006,Halifax West,preliminary,Shuman,,Fred,Conservative,Conservateur,10488,19.3,0,54356
12006,Halifax West,preliminary,Wilson,,Jacob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10429,19.2,0,54356
12006,Halifax West,preliminary,Zurawski,,Richard,Green Party,Parti Vert,6555,12.1,0,54356
12006,Halifax West,validated,Regan,,Geoff,Liberal,Libéral,26885,49.5,465,54822
12006,Halifax West,validated,Shuman,,Fred,Conservative,Conservateur,10488,19.3,465,54822
12006,Halifax West,validated,Wilson,,Jacob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10429,19.2,465,54822
12006,Halifax West,validated,Zurawski,,Richard,Green Party,Parti Vert,6555,12.1,465,54822
12007,Kings--Hants,preliminary,Anderson,,Brogan,Green Party,Parti Vert,6029,12.6,0,48035
12007,Kings--Hants,preliminary,Blois,,Kody,Liberal,Libéral,20807,43.3,0,48035
12007,Kings--Hants,preliminary,Dodge,,Stacey,VCP,CAC,118,.2,0,48035
12007,Kings--Hants,preliminary,MacQuarrie,,Martha,Conservative,Conservateur,11905,24.8,0,48035
12007,Kings--Hants,preliminary,Schneider,,Stephen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8243,17.2,0,48035
12007,Kings--Hants,preliminary,Southall,,Matthew,People's Party,Parti populaire,786,1.6,0,48035
12007,Kings--Hants,preliminary,Tan,,Nicholas,Parti Rhinocéros Party,Parti Rhinocéros Party,147,.3,0,48035
12007,Kings--Hants,validated,Anderson,,Brogan,Green Party,Parti Vert,6029,12.6,327,48363
12007,Kings--Hants,validated,Blois,,Kody,Liberal,Libéral,20806,43.3,327,48363
12007,Kings--Hants,validated,Dodge,,Stacey,VCP,CAC,118,.2,327,48363
12007,Kings--Hants,validated,MacQuarrie,,Martha,Conservative,Conservateur,11905,24.8,327,48363
12007,Kings--Hants,validated,Schneider,,Stephen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8254,17.2,327,48363
12007,Kings--Hants,validated,Southall,,Matthew,People's Party,Parti populaire,786,1.6,327,48363
12007,Kings--Hants,validated,Tan,,Nicholas,Parti Rhinocéros Party,Parti Rhinocéros Party,138,.3,327,48363
12008,Sackville--Preston--Chezzetcook,preliminary,Copley,,Kevin,Conservative,Conservateur,11224,22.6,0,49563
12008,Sackville--Preston--Chezzetcook,preliminary,Edmonds,,Anthony,Green Party,Parti Vert,5743,11.6,0,49563
12008,Sackville--Preston--Chezzetcook,preliminary,Hogg,,Sybil,People's Party,Parti populaire,819,1.7,0,49563
12008,Sackville--Preston--Chezzetcook,preliminary,Samson,,Darrell,Liberal,Libéral,19920,40.2,0,49563
12008,Sackville--Preston--Chezzetcook,preliminary,Stickland,,Matt,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11857,23.9,0,49563
12008,Sackville--Preston--Chezzetcook,validated,Copley,,Kevin,Conservative,Conservateur,11211,22.6,320,49857
12008,Sackville--Preston--Chezzetcook,validated,Edmonds,,Anthony,Green Party,Parti Vert,5725,11.6,320,49857
12008,Sackville--Preston--Chezzetcook,validated,Hogg,,Sybil,People's Party,Parti populaire,816,1.6,320,49857
12008,Sackville--Preston--Chezzetcook,validated,Samson,,Darrell,Liberal,Libéral,19925,40.2,320,49857
12008,Sackville--Preston--Chezzetcook,validated,Stickland,,Matt,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11860,23.9,320,49857
12009,South Shore--St. Margarets,preliminary,Foster,,Steven,Independent,Indépendant(e),379,.7,0,52521
12009,South Shore--St. Margarets,preliminary,Hepburn,,Jessika,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8361,15.9,0,52521
12009,South Shore--St. Margarets,preliminary,Jordan,,Bernadette,Liberal,Libéral,21887,41.7,0,52521
12009,South Shore--St. Margarets,preliminary,Matthews,,Jason,VCP,CAC,126,.2,0,52521
12009,South Shore--St. Margarets,preliminary,McMahon,,Shawn,Independent,Indépendant(e),165,.3,0,52521
12009,South Shore--St. Margarets,preliminary,Monk,,Robert,People's Party,Parti populaire,665,1.3,0,52521
12009,South Shore--St. Margarets,preliminary,Perkins,,Rick,Conservative,Conservateur,14744,28.1,0,52521
12009,South Shore--St. Margarets,preliminary,Schulthies,,Kevin,Christian Heritage Party,Parti de l'Héritage Chrétien,124,.2,0,52521
12009,South Shore--St. Margarets,preliminary,Trappenberg,,Thomas,Green Party,Parti Vert,6070,11.6,0,52521
12009,South Shore--St. Margarets,validated,Foster,,Steven,Independent,Indépendant(e),376,.7,439,52957
12009,South Shore--St. Margarets,validated,Hepburn,,Jessika,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8361,15.9,439,52957
