Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
48012,Calgary Signal Hill,preliminary,Ahmed,,Khalis,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5121,8.3,0,61870
48012,Calgary Signal Hill,preliminary,Alatrash,,Ghada,Liberal,Libéral,9370,15.1,0,61870
48012,Calgary Signal Hill,preliminary,Bassett,,Christina,Parti Rhinocéros Party,Parti Rhinocéros Party,505,.8,0,61870
48012,Calgary Signal Hill,preliminary,Dirk,,Garry,Christian Heritage Party,Parti de l'Héritage Chrétien,195,.3,0,61870
48012,Calgary Signal Hill,preliminary,Liepert,,Ron,Conservative,Conservateur,43535,70.4,0,61870
48012,Calgary Signal Hill,preliminary,Reid,,Marco,Green Party,Parti Vert,2044,3.3,0,61870
48012,Calgary Signal Hill,preliminary,Squire,,Gord,People's Party,Parti populaire,1100,1.8,0,61870
48012,Calgary Signal Hill,validated,Ahmed,,Khalis,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5355,8.4,241,63719
48012,Calgary Signal Hill,validated,Alatrash,,Ghada,Liberal,Libéral,9722,15.3,241,63719
48012,Calgary Signal Hill,validated,Bassett,,Christina,Parti Rhinocéros Party,Parti Rhinocéros Party,511,.8,241,63719
48012,Calgary Signal Hill,validated,Dirk,,Garry,Christian Heritage Party,Parti de l'Héritage Chrétien,200,.3,241,63719
48012,Calgary Signal Hill,validated,Liepert,,Ron,Conservative,Conservateur,44421,70,241,63719
48012,Calgary Signal Hill,validated,Reid,,Marco,Green Party,Parti Vert,2139,3.4,241,63719
48012,Calgary Signal Hill,validated,Squire,,Gord,People's Party,Parti populaire,1130,1.8,241,63719
48013,Calgary Skyview,preliminary,Alexander,,Joseph,Christian Heritage Party,Parti de l'Héritage Chrétien,508,1,0,49874
48013,Calgary Skyview,preliminary,Blanchard,,Daniel,ML,ML,127,.3,0,49874
48013,Calgary Skyview,preliminary,Dawar,,Harpreet Singh,CFF - Canada's Fourth Front,QFC - Quatrième front du Canada,133,.3,0,49874
48013,Calgary Skyview,preliminary,Dhillon,,Harry,People's Party,Parti populaire,584,1.2,0,49874
48013,Calgary Skyview,preliminary,Gill,,Gurinder Singh,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7414,14.9,0,49874
48013,Calgary Skyview,preliminary,Knutson,,Signe,Green Party,Parti Vert,781,1.6,0,49874
48013,Calgary Skyview,preliminary,Naidoo,,Nirmala,Liberal,Libéral,14134,28.3,0,49874
48013,Calgary Skyview,preliminary,Sahota,,Jag,Conservative,Conservateur,26193,52.5,0,49874
48013,Calgary Skyview,validated,Alexander,,Joseph,Christian Heritage Party,Parti de l'Héritage Chrétien,483,1,497,51049
48013,Calgary Skyview,validated,Blanchard,,Daniel,ML,ML,130,.3,497,51049
48013,Calgary Skyview,validated,Dawar,,Harpreet Singh,CFF - Canada's Fourth Front,QFC - Quatrième front du Canada,136,.3,497,51049
48013,Calgary Skyview,validated,Dhillon,,Harry,People's Party,Parti populaire,603,1.2,497,51049
48013,Calgary Skyview,validated,Gill,,Gurinder Singh,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7540,14.9,497,51049
48013,Calgary Skyview,validated,Knutson,,Signe,Green Party,Parti Vert,800,1.6,497,51049
48013,Calgary Skyview,validated,Naidoo,,Nirmala,Liberal,Libéral,14327,28.3,497,51049
48013,Calgary Skyview,validated,Sahota,,Jag,Conservative,Conservateur,26533,52.5,497,51049
48014,Edmonton Centre,preliminary,Boissonnault,,Randy,Liberal,Libéral,17000,32.9,0,51745
48014,Edmonton Centre,preliminary,Cumming,,James,Conservative,Conservateur,21586,41.7,0,51745
48014,Edmonton Centre,preliminary,Eckstrom,,Donovan,Parti Rhinocéros Party,Parti Rhinocéros Party,201,.4,0,51745
48014,Edmonton Centre,preliminary,Hookham,,Paul,People's Party,Parti populaire,778,1.5,0,51745
48014,Edmonton Centre,preliminary,Morton,,Peggy,ML,ML,76,.1,0,51745
48014,Edmonton Centre,preliminary,Murray,,Grad,Green Party,Parti Vert,1332,2.6,0,51745
48014,Edmonton Centre,preliminary,Pirbhai,,Adil,Independent,Indépendant(e),113,.2,0,51745
48014,Edmonton Centre,preliminary,Swampy,,Katherine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10659,20.6,0,51745
48014,Edmonton Centre,validated,Boissonnault,,Randy,Liberal,Libéral,17524,33,362,53454
48014,Edmonton Centre,validated,Cumming,,James,Conservative,Conservateur,22006,41.4,362,53454
48014,Edmonton Centre,validated,Eckstrom,,Donovan,Parti Rhinocéros Party,Parti Rhinocéros Party,206,.4,362,53454
48014,Edmonton Centre,validated,Hookham,,Paul,People's Party,Parti populaire,805,1.5,362,53454
48014,Edmonton Centre,validated,Morton,,Peggy,ML,ML,79,.1,362,53454
48014,Edmonton Centre,validated,Murray,,Grad,Green Party,Parti Vert,1394,2.6,362,53454
48014,Edmonton Centre,validated,Pirbhai,,Adil,Independent,Indépendant(e),119,.2,362,53454
48014,Edmonton Centre,validated,Swampy,,Katherine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10959,20.6,362,53454
48015,Edmonton Griesbach,preliminary,Alva Armas,,Christine,Christian Heritage Party,Parti de l'Héritage Chrétien,234,.5,0,45977
48015,Edmonton Griesbach,preliminary,Boykowich,,Alex,Communist,Communiste,322,.7,0,45977
48015,Edmonton Griesbach,preliminary,Cherrington,,Mark,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11499,25,0,45977
48015,Edmonton Griesbach,preliminary,Diotte,,Kerry,Conservative,Conservateur,23551,51.2,0,45977
48015,Edmonton Griesbach,preliminary,Gudanowski,,Andrzej,Independent,Indépendant(e),231,.5,0,45977
48015,Edmonton Griesbach,preliminary,Joyce,,Mary,ML,ML,102,.2,0,45977
48015,Edmonton Griesbach,preliminary,Khan,,Safi,Green Party,Parti Vert,1205,2.6,0,45977
48015,Edmonton Griesbach,preliminary,Mohamud,,Habiba,Liberal,Libéral,7805,17,0,45977
48015,Edmonton Griesbach,preliminary,Nichols,,Barbara Ellen,People's Party,Parti populaire,1028,2.2,0,45977
48015,Edmonton Griesbach,validated,Alva Armas,,Christine,Christian Heritage Party,Parti de l'Héritage Chrétien,203,.4,319,47282
48015,Edmonton Griesbach,validated,Boykowich,,Alex,Communist,Communiste,170,.4,319,47282
48015,Edmonton Griesbach,validated,Cherrington,,Mark,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11800,25.1,319,47282
48015,Edmonton Griesbach,validated,Diotte,,Kerry,Conservative,Conservateur,24120,51.4,319,47282
48015,Edmonton Griesbach,validated,Gudanowski,,Andrzej,Independent,Indépendant(e),216,.5,319,47282
48015,Edmonton Griesbach,validated,Joyce,,Mary,ML,ML,91,.2,319,47282
48015,Edmonton Griesbach,validated,Khan,,Safi,Green Party,Parti Vert,1189,2.5,319,47282
48015,Edmonton Griesbach,validated,Mohamud,,Habiba,Liberal,Libéral,8100,17.2,319,47282
48015,Edmonton Griesbach,validated,Nichols,,Barbara Ellen,People's Party,Parti populaire,1074,2.3,319,47282
48016,Edmonton Manning,preliminary,Aboultaif,,Ziad,Conservative,Conservateur,28837,56.4,0,51125
48016,Edmonton Manning,preliminary,Kadri,,Kamal,Liberal,Libéral,10903,21.3,0,51125
48016,Edmonton Manning,preliminary,Phiri,,Pam,Christian Heritage Party,Parti de l'Héritage Chrétien,257,.5,0,51125
48016,Edmonton Manning,preliminary,Shaw,,Laura-Leah,Green Party,Parti Vert,1123,2.2,0,51125
48016,Edmonton Manning,preliminary,St. Germain,,Charmaine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8924,17.5,0,51125
48016,Edmonton Manning,preliminary,Summers,,Daniel,People's Party,Parti populaire,1016,2,0,51125
48016,Edmonton Manning,preliminary,Vachon,,Andre,ML,ML,65,.1,0,51125
48016,Edmonton Manning,validated,Aboultaif,,Ziad,Conservative,Conservateur,30425,55.9,357,54737
48016,Edmonton Manning,validated,Kadri,,Kamal,Liberal,Libéral,11692,21.5,357,54737
48016,Edmonton Manning,validated,Phiri,,Pam,Christian Heritage Party,Parti de l'Héritage Chrétien,276,.5,357,54737
48016,Edmonton Manning,validated,Shaw,,Laura-Leah,Green Party,Parti Vert,1255,2.3,357,54737
48016,Edmonton Manning,validated,St. Germain,,Charmaine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9555,17.6,357,54737
48016,Edmonton Manning,validated,Summers,,Daniel,People's Party,Parti populaire,1109,2,357,54737
48016,Edmonton Manning,validated,Vachon,,Andre,ML,ML,68,.1,357,54737
48017,Edmonton Mill Woods,preliminary,Herbert,,Tanya,Green Party,Parti Vert,944,1.8,0,52417
48017,Edmonton Mill Woods,preliminary,Logan,,Nigel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6284,12,0,52417
48017,Edmonton Mill Woods,preliminary,Melanson,,Don,Christian Heritage Party,Parti de l'Héritage Chrétien,211,.4,0,52417
48017,Edmonton Mill Woods,preliminary,Sohi,,Amarjeet,Liberal,Libéral,17611,33.6,0,52417
48017,Edmonton Mill Woods,preliminary,Uppal,,Tim,Conservative,Conservateur,26425,50.4,0,52417
48017,Edmonton Mill Woods,preliminary,Young,,Annie,People's Party,Parti populaire,942,1.8,0,52417
48017,Edmonton Mill Woods,validated,Herbert,,Tanya,Green Party,Parti Vert,968,1.8,342,53519
48017,Edmonton Mill Woods,validated,Logan,,Nigel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6422,12.1,342,53519
48017,Edmonton Mill Woods,validated,Melanson,,Don,Christian Heritage Party,Parti de l'Héritage Chrétien,219,.4,342,53519
48017,Edmonton Mill Woods,validated,Sohi,,Amarjeet,Liberal,Libéral,17879,33.6,342,53519
48017,Edmonton Mill Woods,validated,Uppal,,Tim,Conservative,Conservateur,26736,50.3,342,53519
48017,Edmonton Mill Woods,validated,Young,,Annie,People's Party,Parti populaire,953,1.8,342,53519
48018,Edmonton Riverbend,preliminary,Chaudary,,Tariq,Liberal,Libéral,13591,22.8,0,59661
48018,Edmonton Riverbend,preliminary,Jeneroux,,Matt,Conservative,Conservateur,34491,57.8,0,59661
48018,Edmonton Riverbend,preliminary,Kennedy,,Valerie,Green Party,Parti Vert,1722,2.9,0,59661
48018,Edmonton Riverbend,preliminary,Morris,,Kevin,People's Party,Parti populaire,844,1.4,0,59661
48018,Edmonton Riverbend,preliminary,Redman,,Audrey,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9013,15.1,0,59661
48018,Edmonton Riverbend,validated,Chaudary,,Tariq,Liberal,Libéral,14038,23,329,61477
48018,Edmonton Riverbend,validated,Jeneroux,,Matt,Conservative,Conservateur,35126,57.4,329,61477
48018,Edmonton Riverbend,validated,Kennedy,,Valerie,Green Party,Parti Vert,1797,2.9,329,61477
48018,Edmonton Riverbend,validated,Morris,,Kevin,People's Party,Parti populaire,855,1.4,329,61477
48018,Edmonton Riverbend,validated,Redman,,Audrey,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9332,15.3,329,61477
48019,Edmonton Strathcona,preliminary,Cameron,,Ian,People's Party,Parti populaire,921,1.7,0,55381
48019,Edmonton Strathcona,preliminary,Kalmanovitch,,Michael,Green Party,Parti Vert,1076,1.9,0,55381
48019,Edmonton Strathcona,preliminary,Lilly,,Sam,Conservative,Conservateur,20634,37.3,0,55381
48019,Edmonton Strathcona,preliminary,MacDonald,,Dougal,ML,ML,75,.1,0,55381
48019,Edmonton Strathcona,preliminary,McPherson,,Heather,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,26189,47.3,0,55381
48019,Edmonton Strathcona,preliminary,Olszewski,,Eleanor,Liberal,Libéral,6362,11.5,0,55381
48019,Edmonton Strathcona,preliminary,Rankin,,Naomi,Communist,Communiste,124,.2,0,55381
48019,Edmonton Strathcona,validated,Cameron,,Ian,People's Party,Parti populaire,941,1.7,250,56995
48019,Edmonton Strathcona,validated,Kalmanovitch,,Michael,Green Party,Parti Vert,1152,2,250,56995
48019,Edmonton Strathcona,validated,Lilly,,Sam,Conservative,Conservateur,21035,37.1,250,56995
48019,Edmonton Strathcona,validated,MacDonald,,Dougal,ML,ML,77,.1,250,56995
48019,Edmonton Strathcona,validated,McPherson,,Heather,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,26823,47.3,250,56995
48019,Edmonton Strathcona,validated,Olszewski,,Eleanor,Liberal,Libéral,6592,11.6,250,56995
48019,Edmonton Strathcona,validated,Rankin,,Naomi,Communist,Communiste,125,.2,250,56995
48020,Edmonton West,preliminary,Armstrong,,Matthew,People's Party,Parti populaire,1105,1.9,0,57589
48020,Edmonton West,preliminary,Johnston,,Kerrie,Liberal,Libéral,11555,20.1,0,57589
48020,Edmonton West,preliminary,McCauley,,Kelly,Conservative,Conservateur,35181,61.1,0,57589
48020,Edmonton West,preliminary,Pearce,,Jackie,Green Party,Parti Vert,1383,2.4,0,57589
48020,Edmonton West,preliminary,Steuber,,Patrick,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8365,14.5,0,57589
48020,Edmonton West,validated,Armstrong,,Matthew,People's Party,Parti populaire,1126,1.9,304,58939
48020,Edmonton West,validated,Johnston,,Kerrie,Liberal,Libéral,11812,20.1,304,58939
48020,Edmonton West,validated,McCauley,,Kelly,Conservative,Conservateur,35719,60.9,304,58939
48020,Edmonton West,validated,Pearce,,Jackie,Green Party,Parti Vert,1441,2.5,304,58939
48020,Edmonton West,validated,Steuber,,Patrick,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8537,14.6,304,58939
48021,Edmonton--Wetaskiwin,preliminary,Calliou,,Travis,VCP,CAC,211,.2,0,85093
48021,Edmonton--Wetaskiwin,preliminary,Doell,,Neil,People's Party,Parti populaire,1641,1.9,0,85093
48021,Edmonton--Wetaskiwin,preliminary,Drzymala,,Emily,Green Party,Parti Vert,1609,1.9,0,85093
48021,Edmonton--Wetaskiwin,preliminary,Garver,,Noah,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9623,11.3,0,85093
48021,Edmonton--Wetaskiwin,preliminary,Lake,,Mike,Conservative,Conservateur,61709,72.5,0,85093
48021,Edmonton--Wetaskiwin,preliminary,Wong,,Richard,Liberal,Libéral,10300,12.1,0,85093
48021,Edmonton--Wetaskiwin,validated,Calliou,,Travis,VCP,CAC,211,.2,392,87847
48021,Edmonton--Wetaskiwin,validated,Doell,,Neil,People's Party,Parti populaire,1616,1.8,392,87847
48021,Edmonton--Wetaskiwin,validated,Drzymala,,Emily,Green Party,Parti Vert,1660,1.9,392,87847
48021,Edmonton--Wetaskiwin,validated,Garver,,Noah,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9820,11.2,392,87847
48021,Edmonton--Wetaskiwin,validated,Lake,,Mike,Conservative,Conservateur,63346,72.4,392,87847
48021,Edmonton--Wetaskiwin,validated,Wong,,Richard,Liberal,Libéral,10802,12.4,392,87847
48022,Foothills,preliminary,Barlow,,John,Conservative,Conservateur,52907,82.3,0,64290
48022,Foothills,preliminary,Hendi,,Mickail,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3641,5.7,0,64290
48022,Foothills,preliminary,Hession,,Greg,People's Party,Parti populaire,1668,2.6,0,64290
48022,Foothills,preliminary,Lacey,,Bridget,Green Party,Parti Vert,2309,3.6,0,64290
48022,Foothills,preliminary,Moller,,Cheryl,Liberal,Libéral,3765,5.9,0,64290
48022,Foothills,validated,Barlow,,John,Conservative,Conservateur,53872,82.1,290,65881
48022,Foothills,validated,Hendi,,Mickail,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3767,5.7,290,65881
48022,Foothills,validated,Hession,,Greg,People's Party,Parti populaire,1698,2.6,290,65881
48022,Foothills,validated,Lacey,,Bridget,Green Party,Parti Vert,2398,3.7,290,65881
48022,Foothills,validated,Moller,,Cheryl,Liberal,Libéral,3856,5.9,290,65881
48023,Fort McMurray--Cold Lake,preliminary,Barrett,,Matthew,People's Party,Parti populaire,1583,3.2,0,49680
48023,Fort McMurray--Cold Lake,preliminary,Deheer,,Brian,Green Party,Parti Vert,857,1.7,0,49680
48023,Fort McMurray--Cold Lake,preliminary,Farrington,,Maggie,Liberal,Libéral,4708,9.5,0,49680
48023,Fort McMurray--Cold Lake,preliminary,Gilks,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2767,5.6,0,49680
48023,Fort McMurray--Cold Lake,preliminary,Yurdiga,,David,Conservative,Conservateur,39765,80,0,49680
48023,Fort McMurray--Cold Lake,validated,Barrett,,Matthew,People's Party,Parti populaire,1674,3.3,258,51234
48023,Fort McMurray--Cold Lake,validated,Deheer,,Brian,Green Party,Parti Vert,865,1.7,258,51234
48023,Fort McMurray--Cold Lake,validated,Farrington,,Maggie,Liberal,Libéral,4848,9.5,258,51234
48023,Fort McMurray--Cold Lake,validated,Gilks,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2883,5.7,258,51234
48023,Fort McMurray--Cold Lake,validated,Yurdiga,,David,Conservative,Conservateur,40706,79.9,258,51234
48024,Grande Prairie--Mackenzie,preliminary,Alyward,,Erin,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4064,6.8,0,59936
48024,Grande Prairie--Mackenzie,preliminary,Burchill,,Douglas Gordon,People's Party,Parti populaire,1473,2.5,0,59936
48024,Grande Prairie--Mackenzie,preliminary,Munro,,Kenneth,Liberal,Libéral,2803,4.7,0,59936
48024,Grande Prairie--Mackenzie,preliminary,Termuende,,Shelley,Green Party,Parti Vert,1138,1.9,0,59936
48024,Grande Prairie--Mackenzie,preliminary,Warkentin,,Chris,Conservative,Conservateur,50458,84.2,0,59936
48024,Grande Prairie--Mackenzie,validated,Alyward,,Erin,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4245,7,314,61293
48024,Grande Prairie--Mackenzie,validated,Burchill,,Douglas Gordon,People's Party,Parti populaire,1492,2.4,314,61293
48024,Grande Prairie--Mackenzie,validated,Munro,,Kenneth,Liberal,Libéral,2910,4.8,314,61293
48024,Grande Prairie--Mackenzie,validated,Termuende,,Shelley,Green Party,Parti Vert,1134,1.9,314,61293
48024,Grande Prairie--Mackenzie,validated,Warkentin,,Chris,Conservative,Conservateur,51198,84,314,61293
48025,Lakeland,preliminary,Brunner,,Kira,Green Party,Parti Vert,1069,1.9,0,56573
48025,Lakeland,preliminary,Graham,,Roberta Marie,VCP,CAC,145,.3,0,56573
48025,Lakeland,preliminary,Houle,,Alain,People's Party,Parti populaire,1440,2.5,0,56573
48025,Lakeland,preliminary,McFadzean,,Robert,Libertarian,Libertarien,242,.4,0,56573
48025,Lakeland,preliminary,Stubbs,,Shannon,Conservative,Conservateur,47551,84.1,0,56573
48025,Lakeland,preliminary,Swanson,,Jeffrey,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3634,6.4,0,56573
48025,Lakeland,preliminary,Watson,,Mark,Liberal,Libéral,2492,4.4,0,56573
48025,Lakeland,validated,Brunner,,Kira,Green Party,Parti Vert,1105,1.9,198,57776
48025,Lakeland,validated,Graham,,Roberta Marie,VCP,CAC,147,.3,198,57776
48025,Lakeland,validated,Houle,,Alain,People's Party,Parti populaire,1468,2.5,198,57776
48025,Lakeland,validated,McFadzean,,Robert,Libertarian,Libertarien,251,.4,198,57776
48025,Lakeland,validated,Stubbs,,Shannon,Conservative,Conservateur,48314,83.9,198,57776
48025,Lakeland,validated,Swanson,,Jeffrey,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3728,6.5,198,57776
48025,Lakeland,validated,Watson,,Mark,Liberal,Libéral,2565,4.5,198,57776
48026,Lethbridge,preliminary,Bleiken,,Shandi,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9419,14.9,0,63339
48026,Lethbridge,preliminary,Bronson,,Amy,Liberal,Libéral,8642,13.6,0,63339
48026,Lethbridge,preliminary,Harder,,Rachael,Conservative,Conservateur,41580,65.6,0,63339
48026,Lethbridge,preliminary,Hepworth,,Grant,People's Party,Parti populaire,1025,1.6,0,63339
48026,Lethbridge,preliminary,Slingerland,,Marc,Christian Heritage Party,Parti de l'Héritage Chrétien,674,1.1,0,63339
48026,Lethbridge,preliminary,Watson,,Stephnie,Green Party,Parti Vert,1999,3.2,0,63339
48026,Lethbridge,validated,Bleiken,,Shandi,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9110,14.7,335,62217
48026,Lethbridge,validated,Bronson,,Amy,Liberal,Libéral,8443,13.6,335,62217
48026,Lethbridge,validated,Harder,,Rachael,Conservative,Conservateur,40713,65.8,335,62217
48026,Lethbridge,validated,Hepworth,,Grant,People's Party,Parti populaire,1007,1.6,335,62217
48026,Lethbridge,validated,Slingerland,,Marc,Christian Heritage Party,Parti de l'Héritage Chrétien,670,1.1,335,62217
48026,Lethbridge,validated,Watson,,Stephnie,Green Party,Parti Vert,1939,3.1,335,62217
48027,Medicine Hat--Cardston--Warner,preliminary,Hawthorne,,Shannon,Green Party,Parti Vert,1165,2.2,0,52334
48027,Medicine Hat--Cardston--Warner,preliminary,Kirshenbaum,,Harris,Liberal,Libéral,3467,6.6,0,52334
48027,Medicine Hat--Cardston--Warner,preliminary,Motz,,Glen,Conservative,Conservateur,41498,79.3,0,52334
48027,Medicine Hat--Cardston--Warner,preliminary,Nelson,,Andrew,People's Party,Parti populaire,1341,2.6,0,52334
48027,Medicine Hat--Cardston--Warner,preliminary,Phillips,,Dave,Independent,Indépendant(e),333,.6,0,52334
48027,Medicine Hat--Cardston--Warner,preliminary,Thomson,,Elizabeth,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4530,8.7,0,52334
48027,Medicine Hat--Cardston--Warner,validated,Hawthorne,,Shannon,Green Party,Parti Vert,1203,2.3,254,53356
48027,Medicine Hat--Cardston--Warner,validated,Kirshenbaum,,Harris,Liberal,Libéral,3528,6.6,254,53356
48027,Medicine Hat--Cardston--Warner,validated,Motz,,Glen,Conservative,Conservateur,42045,79.2,254,53356
48027,Medicine Hat--Cardston--Warner,validated,Nelson,,Andrew,People's Party,Parti populaire,1350,2.5,254,53356
48027,Medicine Hat--Cardston--Warner,validated,Phillips,,Dave,Independent,Indépendant(e),337,.6,254,53356
48027,Medicine Hat--Cardston--Warner,validated,Thomson,,Elizabeth,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4639,8.7,254,53356
48028,Peace River--Westlock,preliminary,Nygaard,,Peter,Green Party,Parti Vert,1350,2.6,0,50945
48028,Peace River--Westlock,preliminary,Penny,,Leslie,Liberal,Libéral,3062,6,0,50945
48028,Peace River--Westlock,preliminary,Schrader,,John,People's Party,Parti populaire,1569,3.1,0,50945
48028,Peace River--Westlock,preliminary,Viersen,,Arnold,Conservative,Conservateur,41159,80.8,0,50945
48028,Peace River--Westlock,preliminary,Villebrun,,Jennifer,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3805,7.5,0,50945
48028,Peace River--Westlock,validated,Nygaard,,Peter,Green Party,Parti Vert,1377,2.7,347,51996
48028,Peace River--Westlock,validated,Penny,,Leslie,Liberal,Libéral,3148,6.1,347,51996
48028,Peace River--Westlock,validated,Schrader,,John,People's Party,Parti populaire,1579,3.1,347,51996
48028,Peace River--Westlock,validated,Viersen,,Arnold,Conservative,Conservateur,41659,80.7,347,51996
48028,Peace River--Westlock,validated,Villebrun,,Jennifer,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3886,7.5,347,51996
48029,Red Deer--Mountain View,preliminary,Borlé,,Conner,Green Party,Parti Vert,1997,3,0,67277
48029,Red Deer--Mountain View,preliminary,Dreeshen,,Earl,Conservative,Conservateur,54111,80.4,0,67277
48029,Red Deer--Mountain View,preliminary,Garbanewski,,Logan,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4836,7.2,0,67277
48029,Red Deer--Mountain View,preliminary,Mitchell,,Paul,People's Party,Parti populaire,2609,3.9,0,67277
48029,Red Deer--Mountain View,preliminary,Tremblay,,Gary,Liberal,Libéral,3724,5.5,0,67277
48029,Red Deer--Mountain View,validated,Borlé,,Conner,Green Party,Parti Vert,2026,3,278,68447
48029,Red Deer--Mountain View,validated,Dreeshen,,Earl,Conservative,Conservateur,54765,80.3,278,68447
48029,Red Deer--Mountain View,validated,Garbanewski,,Logan,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4946,7.3,278,68447
48029,Red Deer--Mountain View,validated,Mitchell,,Paul,People's Party,Parti populaire,2637,3.9,278,68447
48029,Red Deer--Mountain View,validated,Tremblay,,Gary,Liberal,Libéral,3795,5.6,278,68447
48030,Red Deer--Lacombe,preliminary,Calkins,,Blaine,Conservative,Conservateur,52684,79.9,0,65950
48030,Red Deer--Lacombe,preliminary,Palmer,,Sarah,Green Party,Parti Vert,1533,2.3,0,65950
48030,Red Deer--Lacombe,preliminary,Pezzella,,Lauren,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5888,8.9,0,65950
48030,Red Deer--Lacombe,preliminary,Rose,,Tiffany,Liberal,Libéral,3437,5.2,0,65950
48030,Red Deer--Lacombe,preliminary,Thompson,,Laura Lynn,People's Party,Parti populaire,2408,3.7,0,65950
48030,Red Deer--Lacombe,validated,Calkins,,Blaine,Conservative,Conservateur,53843,79.8,325,67769
48030,Red Deer--Lacombe,validated,Palmer,,Sarah,Green Party,Parti Vert,1596,2.4,325,67769
48030,Red Deer--Lacombe,validated,Pezzella,,Lauren,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6012,8.9,325,67769
48030,Red Deer--Lacombe,validated,Rose,,Tiffany,Liberal,Libéral,3540,5.2,325,67769
48030,Red Deer--Lacombe,validated,Thompson,,Laura Lynn,People's Party,Parti populaire,2453,3.6,325,67769
48031,St. Albert--Edmonton,preliminary,Cecelia,,Brigitte,People's Party,Parti populaire,1274,2,0,63850
48031,St. Albert--Edmonton,preliminary,Cooper,,Michael,Conservative,Conservateur,38807,60.8,0,63850
48031,St. Albert--Edmonton,preliminary,Dunbar,,Rob,Green Party,Parti Vert,1548,2.4,0,63850
48031,St. Albert--Edmonton,preliminary,Fraser,,Robert Bruce,VCP,CAC,342,.5,0,63850
48031,St. Albert--Edmonton,preliminary,Mpulubusi,,Kathleen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9655,15.1,0,63850
48031,St. Albert--Edmonton,preliminary,Springate,,Greg,Liberal,Libéral,12224,19.1,0,63850
48031,St. Albert--Edmonton,validated,Cecelia,,Brigitte,People's Party,Parti populaire,1268,1.9,336,65427
48031,St. Albert--Edmonton,validated,Cooper,,Michael,Conservative,Conservateur,39506,60.7,336,65427
48031,St. Albert--Edmonton,validated,Dunbar,,Rob,Green Party,Parti Vert,1594,2.4,336,65427
48031,St. Albert--Edmonton,validated,Fraser,,Robert Bruce,VCP,CAC,351,.5,336,65427
48031,St. Albert--Edmonton,validated,Mpulubusi,,Kathleen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9895,15.2,336,65427
48031,St. Albert--Edmonton,validated,Springate,,Greg,Liberal,Libéral,12477,19.2,336,65427
48032,Sherwood Park--Fort Saskatchewan,preliminary,Genuis,,Garnett,Conservative,Conservateur,52950,73.6,0,71938
48032,Sherwood Park--Fort Saskatchewan,preliminary,McElrea,,Patrick,VCP,CAC,293,.4,0,71938
48032,Sherwood Park--Fort Saskatchewan,preliminary,Sanderson,,Laura,Green Party,Parti Vert,1547,2.2,0,71938
48032,Sherwood Park--Fort Saskatchewan,preliminary,Theroux,,Aidan,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8667,12,0,71938
48032,Sherwood Park--Fort Saskatchewan,preliminary,Thiering,,Ron,Liberal,Libéral,7167,10,0,71938
